X,Y,TIME
641.8912963867188,656.7608642578125,1650677291.674134
642.4525756835938,656.144287109375,1650677291.71881
642.407958984375,656.0272216796875,1650677291.760386
642.4172973632812,656.1771850585938,1650677291.800492
642.433349609375,656.0,1650677291.8392699
642.0,656.4642944335938,1650677291.883146
1393.5,501.5,1650677292.362334
596.5,485.0,1650677292.692692
598.5,490.5,1650677294.6505961
594.5,488.5,1650677295.899287
596.0,499.0,1650677296.8003101
591.5,490.5,1650677301.2602592
596.5,499.0,1650677302.8482308
598.0,499.0,1650677303.6349282
340.0,638.0,1650677303.800365
